                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5642,                 3.2389,                 1.6591,                 1.4644,                 4.8922,                 1.5144,                 0.0712,                0.06827,                0.03353,                0.02087,                 1.4107,                 2.2951,                 1.4643,                 1.3428,                 4.5621,                 1.4145,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.3594,                 1.8075,                 1.4197,                 1.3069,                 3.3636,                 1.3534,                0.22965,                0.49142,                0.27395,                0.14449,                 1.4299,                 2.0845,                 1.3529,                 1.3863,                 4.9084,                 1.3213,              0.0002418,              0.0002418,              0.0002418
                      3,                 1.2821,                 1.2376,                 1.3205,                 1.2481,                   2.18,                 1.2825,                0.42259,                0.50301,                0.42062,                0.23409,                 1.3916,                 1.4008,                 1.4233,                 1.3772,                 2.2286,                 1.3594,              0.0003581,              0.0003581,              0.0003581
                      4,                 1.2184,                 1.0893,                 1.2653,                 1.2503,                 1.6142,                 1.2484,                0.33194,                 0.3465,                0.30983,                0.18893,                 1.4078,                 2.5196,                 1.3638,                 1.4803,                 3.0781,                 1.4056,             0.00046561,             0.00046561,             0.00046561
                      5,                 1.1862,                  1.044,                 1.2696,                 1.2301,                 1.4362,                 1.2631,                 0.5569,                0.46217,                0.46729,                0.27844,                 1.3644,                 1.7048,                 1.5142,                 1.3735,                 2.6222,                 1.4781,             0.00056431,             0.00056431,             0.00056431
                      6,                 1.2749,                  1.055,                 1.2723,                 1.3288,                 1.3406,                 1.2612,                0.32769,                0.31948,                0.30107,                0.18003,                 1.4666,                 1.8824,                 1.6029,                 1.6024,                 2.0737,                 1.6168,             0.00065421,             0.00065421,             0.00065421
                      7,                  1.201,                 1.0266,                 1.2704,                 1.2698,                 1.3034,                  1.277,                0.42609,                0.41423,                0.38251,                0.22958,                 1.3988,                 1.4057,                 1.4811,                 1.4691,                 1.9604,                 1.5109,             0.00073531,             0.00073531,             0.00073531
                      8,                 1.1638,                0.97889,                 1.2332,                 1.2407,                 1.2676,                 1.2301,                0.44001,                0.39824,                0.35477,                0.19362,                 1.4309,                 1.5675,                 1.5874,                 1.4857,                 2.1044,                 1.5454,             0.00080761,             0.00080761,             0.00080761
                      9,                 1.1789,                 1.0031,                 1.2524,                  1.249,                 1.2533,                 1.2418,                0.38701,                0.37729,                0.37143,                0.22649,                 1.4973,                  1.643,                  1.549,                 1.5705,                 2.0716,                 1.5726,             0.00087111,             0.00087111,             0.00087111
                     10,                 1.1651,                0.97557,                 1.2504,                 1.2357,                 1.2208,                 1.2407,                0.85308,                0.34748,                 0.3778,                0.24804,                 1.3728,                 1.4281,                 1.4307,                 1.4264,                  2.282,                 1.4764,              0.0009258,              0.0009258,              0.0009258
