                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3676,                  2.457,                 1.5926,                 1.3366,                 3.1086,                 1.5679,                 0.2406,                0.53301,                0.30152,                0.15329,                 1.4087,                 6.2911,                  1.593,                 1.4467,                 4.1033,                 1.6111,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.2919,                 1.2581,                 1.4394,                 1.3246,                 1.7253,                 1.4373,                0.31377,                0.45718,                0.36693,                0.20615,                 1.4946,                 5.2737,                 1.9126,                 1.5484,                 3.2664,                 1.8478,             0.00046748,             0.00046748,             0.00046748
                      3,                 1.3238,                 1.2002,                 1.4757,                 1.3899,                 1.5189,                 1.4841,                0.06207,                0.23384,                0.04112,                0.01622,                 2.0771,                 11.693,                 4.3964,                 2.1849,                 15.479,                 3.2601,             0.00068507,             0.00068507,             0.00068507
                      4,                 1.3054,                 1.1832,                 1.4637,                 1.3882,                 1.4495,                 1.4724,                0.00406,                0.00377,                0.00054,                0.00017,                 5.0952,                 80.959,                 39.631,                 4.5889,                  23.48,                 16.601,             0.00088616,             0.00088616,             0.00088616
                      5,                 1.3139,                 1.1814,                 1.4596,                 1.4105,                 1.3672,                 1.4677,                0.02596,                0.02399,                 0.0074,                0.00308,                 3.2856,                 4.7514,                   7.01,                 3.2846,                 7.7819,                 5.8403,              0.0010707,              0.0010707,              0.0010707
                      6,                 1.3333,                 1.1889,                 1.4907,                 1.4247,                 1.3724,                 1.4943,                0.01898,                0.01296,                0.00424,                0.00174,                 3.4012,                 46.779,                 6.0544,                 3.1817,                 5.3499,                 3.3901,              0.0012388,              0.0012388,              0.0012388
                      7,                 1.3323,                 1.1202,                  1.439,                 1.4255,                 1.3076,                 1.4414,                0.15902,                0.09358,                0.05592,                0.03338,                 2.9638,                 16.923,                 4.8979,                  3.057,                  10.75,                  7.107,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2874,                 1.1253,                 1.4343,                 1.4082,                 1.2971,                 1.4597,                 0.3442,                0.30771,                0.26525,                0.14761,                 1.7391,                 3.7649,                 2.1413,                 1.8865,                 3.6054,                 2.1301,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2655,                 1.0819,                 1.4232,                 1.3897,                 1.2555,                 1.4497,                0.29049,                0.34839,                0.26645,                0.15689,                 1.5912,                 4.6544,                 1.9891,                 1.7014,                 3.7999,                 2.0547,              0.0012819,              0.0012819,              0.0012819
                     10,                  1.279,                 1.1114,                 1.4479,                 1.3918,                 1.3033,                 1.4617,                 0.2657,                0.36651,                0.22174,                0.13004,                 1.5369,                 4.2099,                 1.8727,                 1.6424,                 4.6816,                 1.9113,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2173,                 1.0344,                 1.3867,                 1.3421,                 1.2069,                 1.4062,                0.40867,                  0.427,                0.38173,                 0.2237,                 1.4319,                 2.2933,                 1.7032,                 1.5609,                 2.5214,                 1.7802,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.1997,                 1.0216,                 1.3813,                 1.3154,                 1.2027,                 1.4043,                0.47605,                0.42208,                0.40414,                0.22926,                 1.5182,                 2.4921,                 1.8106,                 1.6393,                 2.8851,                  1.894,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.1991,                 1.0193,                 1.3892,                 1.3199,                 1.2307,                 1.4177,                0.32562,                0.52735,                0.37016,                0.20805,                 1.4631,                  1.787,                 1.7061,                 1.5583,                 2.2715,                 1.7662,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.1747,                0.99401,                 1.3669,                 1.2964,                 1.1801,                 1.3888,                0.43914,                0.56308,                0.46719,                0.27736,                 1.3443,                 1.4318,                 1.5671,                 1.4422,                 1.7524,                 1.6289,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.1448,                0.96207,                  1.368,                 1.2558,                  1.145,                 1.3917,                 0.5601,                0.54996,                0.52186,                0.31147,                  1.297,                 1.3385,                  1.532,                  1.388,                 1.7558,                 1.5834,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1349,                0.92287,                 1.3478,                 1.2517,                 1.0915,                 1.3763,                0.58193,                0.61139,                0.58584,                0.33756,                 1.3108,                 1.1572,                 1.5351,                 1.4016,                 1.3185,                 1.5644,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1183,                0.89726,                 1.3348,                 1.2253,                 1.0619,                 1.3504,                0.53754,                 0.6332,                0.57955,                0.34854,                 1.2313,                 1.0432,                 1.4702,                 1.3108,                 1.2359,                 1.5077,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1432,                0.92671,                 1.3321,                 1.2597,                 1.0571,                 1.3486,                0.52212,                0.62222,                0.55304,                0.33719,                 1.2299,                 1.0937,                 1.4848,                 1.3143,                 1.2482,                 1.5284,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1044,                 0.8957,                 1.3245,                 1.2208,                 1.0607,                 1.3588,                0.51172,                0.67641,                0.59018,                0.36654,                   1.19,                  1.005,                 1.4247,                 1.2857,                 1.1761,                 1.4932,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.0942,                 0.9067,                 1.3154,                 1.1975,                 1.0653,                 1.3304,                0.58397,                0.65523,                0.62112,                0.37761,                 1.1893,                0.93484,                 1.4053,                 1.2851,                 1.0683,                 1.4695,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.1206,                0.91692,                  1.355,                 1.2021,                 1.0373,                 1.3833,                0.62226,                0.67056,                0.64409,                0.39954,                 1.1693,                0.89236,                 1.3932,                 1.2623,                  1.017,                  1.445,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.1142,                0.92416,                 1.3741,                 1.2077,                  1.032,                 1.4101,                0.58633,                0.69784,                0.65234,                0.40206,                 1.1879,                0.98042,                 1.3985,                 1.3024,                  1.026,                 1.4587,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.0878,                0.86658,                 1.3589,                 1.1862,                0.95482,                  1.396,                0.59954,                0.67902,                0.62418,                0.38683,                  1.159,                0.93268,                 1.3869,                 1.2339,                0.98642,                 1.4388,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.0609,                0.83747,                 1.3394,                 1.1502,                0.92943,                 1.3792,                0.62786,                0.70136,                0.65847,                0.41379,                 1.1259,                0.89714,                 1.3709,                  1.206,                0.94151,                 1.4276,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.0443,                0.81061,                 1.3219,                 1.1266,                0.86765,                 1.3549,                0.64895,                0.71786,                0.67902,                0.42448,                 1.1457,                0.87502,                 1.3756,                 1.2235,                0.93941,                 1.4227,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.0389,                0.81769,                 1.3113,                 1.1344,                0.87828,                 1.3481,                0.60969,                0.68633,                0.64338,                0.40627,                 1.1439,                0.84996,                 1.3794,                 1.2284,                0.91008,                 1.4239,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.0264,                0.79223,                    1.3,                 1.1206,                0.87583,                 1.3342,                0.62073,                0.70531,                0.66975,                0.42672,                 1.1396,                0.81295,                 1.3618,                 1.2264,                0.88664,                 1.4136,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.0136,                0.80632,                 1.3128,                 1.1104,                0.88265,                  1.361,                0.63036,                0.71712,                0.68325,                0.43365,                 1.1172,                0.80833,                 1.3597,                 1.1955,                0.89875,                 1.4036,             0.00023671,             0.00023671,             0.00023671
