                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3809,                 2.5274,                 1.6038,                 1.3476,                 3.0797,                 1.5663,                0.41316,                0.52635,                0.40907,                0.18621,                 1.5959,                  4.009,                 1.7216,                 1.6463,                 2.7145,                 1.7539,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.3029,                 1.2567,                  1.419,                 1.3357,                  1.606,                 1.4155,                0.35579,                0.42945,                0.40643,                0.24419,                 1.4276,                 4.7623,                 1.7425,                 1.4876,                 4.1958,                 1.7434,             0.00046748,             0.00046748,             0.00046748
                      3,                 1.3017,                  1.175,                 1.4211,                 1.3559,                 1.4668,                 1.4248,                0.01592,                0.03883,                0.00808,                0.00301,                 2.8444,                 427.76,                 17.771,                 2.9411,                   3180,                 15.594,             0.00068507,             0.00068507,             0.00068507
                      4,                 1.2966,                 1.1889,                 1.4321,                 1.3709,                  1.417,                 1.4373,                0.19288,                0.03596,                0.02628,                0.01094,                 4.1428,                 199.23,                   32.5,                 3.4144,                 5.4951,                 9.0064,             0.00088616,             0.00088616,             0.00088616
                      5,                  1.297,                 1.2435,                 1.4233,                 1.3772,                  1.429,                 1.4275,                0.12531,                 0.0595,                0.03543,                 0.0175,                 3.2092,                 4.4475,                 3.4854,                 2.9755,                 4.6168,                 2.8313,              0.0010707,              0.0010707,              0.0010707
                      6,                 1.2585,                 1.1349,                 1.4081,                 1.3496,                 1.3463,                 1.4175,                0.18694,                0.13646,                0.08645,                0.04453,                 2.3796,                 6.9709,                 3.0697,                 2.4477,                 6.2814,                 2.6314,              0.0012388,              0.0012388,              0.0012388
                      7,                 1.3004,                 1.0568,                 1.3799,                 1.3843,                 1.2438,                 1.3833,                0.37959,                0.39515,                0.34619,                 0.1976,                 1.5932,                 3.5092,                 1.8894,                 1.6829,                 5.6581,                 1.9298,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2574,                 1.0751,                 1.3785,                 1.3576,                 1.2527,                 1.3959,                0.31111,                0.39908,                0.31576,                0.17608,                 1.6251,                 3.3313,                 1.8537,                 1.7455,                 3.4238,                 1.9211,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2333,                 1.0477,                 1.3696,                 1.3358,                 1.2245,                 1.3751,                0.45352,                0.41578,                 0.3831,                0.22303,                 1.5221,                 2.5207,                 1.7489,                  1.636,                 2.7499,                 1.7863,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.2363,                 1.0575,                 1.3824,                 1.3404,                 1.2229,                 1.3856,                0.49944,                0.46368,                0.45378,                 0.2617,                 1.4703,                    1.9,                 1.7109,                 1.6035,                 2.2085,                 1.7828,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2134,                 1.0256,                 1.3431,                   1.32,                 1.1998,                 1.3594,                0.37961,                0.54156,                0.43643,                 0.2435,                 1.4058,                 1.7007,                 1.6206,                 1.5266,                 1.9124,                 1.6856,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.1916,                  1.016,                 1.3367,                 1.3005,                 1.1881,                 1.3599,                0.49352,                0.53093,                0.46003,                0.27235,                  1.388,                 1.8022,                 1.5976,                  1.486,                 1.8786,                 1.6358,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.1645,                0.99985,                 1.3404,                 1.2553,                 1.1679,                 1.3552,                0.51992,                0.61389,                0.54268,                 0.3133,                 1.3678,                 1.4298,                 1.5477,                 1.4597,                 1.4276,                 1.5877,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.1716,                 0.9859,                 1.3326,                 1.2791,                 1.1452,                 1.3492,                0.54069,                0.64445,                0.58059,                0.32549,                 1.2975,                  1.343,                 1.4697,                 1.4252,                 1.2716,                  1.554,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.1645,                0.96544,                 1.3499,                 1.2728,                 1.1587,                 1.3772,                0.57435,                0.61076,                0.61337,                 0.3501,                 1.2893,                 1.1747,                 1.4901,                 1.3411,                 1.4363,                 1.5358,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1384,                0.92928,                 1.3183,                 1.2359,                 1.1267,                 1.3414,                0.60397,                0.64191,                0.61076,                0.35811,                 1.2477,                  1.134,                 1.4238,                 1.3731,                 1.2316,                 1.4885,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1143,                0.91695,                 1.2974,                 1.2304,                 1.0765,                  1.321,                0.52512,                0.66687,                0.61896,                0.36036,                 1.2605,                 1.1188,                 1.4344,                 1.3788,                 1.3268,                 1.5091,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1348,                0.91535,                 1.2938,                 1.2418,                 1.0413,                 1.3072,                0.61015,                0.65782,                0.63603,                0.37808,                  1.249,                 1.0218,                 1.4134,                 1.3429,                 1.1037,                 1.4707,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.0936,                0.87893,                   1.29,                 1.2087,                 1.0167,                 1.3142,                0.61168,                0.67388,                0.62769,                0.37962,                 1.2108,                 0.9596,                 1.3748,                 1.3185,                 1.1047,                 1.4423,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.0935,                0.89442,                 1.2849,                 1.2001,                 1.0532,                 1.3038,                0.58936,                0.58145,                0.57689,                0.35369,                 1.1939,                 1.0435,                  1.354,                  1.277,                 1.2328,                 1.4101,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.1135,                0.91374,                 1.3026,                 1.2017,                  1.018,                 1.3393,                0.62431,                0.66651,                0.64865,                0.39606,                 1.1958,                 0.9236,                 1.3452,                 1.2713,                 1.0416,                 1.3864,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.1045,                0.92101,                 1.3313,                 1.1935,                 1.0304,                 1.3704,                0.58037,                0.67826,                0.64932,                0.39995,                 1.1466,                0.91341,                  1.324,                 1.2331,                 0.9936,                  1.381,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.0722,                0.85108,                 1.3117,                 1.1792,                0.95089,                   1.36,                0.57948,                0.72907,                0.65383,                0.39886,                 1.1902,                0.93861,                 1.3672,                 1.2789,                 1.0616,                 1.4065,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.0521,                0.82845,                 1.2889,                 1.1556,                0.91302,                 1.3358,                0.65395,                0.69218,                0.67016,                 0.4108,                 1.1478,                0.88168,                 1.3416,                 1.2213,                0.94996,                 1.3895,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.0357,                0.80694,                 1.2762,                 1.1288,                0.88588,                 1.3168,                0.60411,                0.71847,                0.66005,                0.41274,                 1.1343,                0.85148,                 1.3383,                 1.2091,                0.91647,                 1.3841,             0.00040175,             0.00040175,             0.00040175
                     26,                   1.03,                0.80316,                 1.2699,                 1.1197,                0.88138,                 1.3045,                0.64702,                0.71072,                 0.6781,                 0.4161,                  1.156,                0.83512,                 1.3502,                 1.2166,                0.95698,                 1.3758,             0.00034674,             0.00034674,             0.00034674
                     27,                  1.027,                0.80363,                 1.2708,                 1.1115,                0.87948,                 1.3045,                0.61531,                0.71453,                0.68601,                0.42742,                 1.1319,                0.83009,                 1.3272,                  1.205,                0.92015,                 1.3721,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.0185,                0.81161,                 1.2861,                 1.1084,                0.89146,                 1.3301,                0.64727,                0.66566,                0.68088,                0.43401,                 1.1169,                0.82955,                 1.3295,                 1.2016,                0.90168,                 1.3793,             0.00023671,             0.00023671,             0.00023671
                     29,                0.98241,                0.76556,                 1.2584,                 1.0733,                0.83484,                 1.2842,                0.67155,                0.65576,                0.68911,                0.43305,                  1.126,                0.82077,                  1.332,                  1.199,                 0.9071,                 1.3748,              0.0001817,              0.0001817,              0.0001817
                     30,                0.98528,                0.75383,                 1.2576,                  1.072,                0.83287,                 1.2924,                0.66043,                0.70073,                0.70014,                0.44276,                 1.1089,                0.80111,                 1.3175,                 1.1748,                0.88304,                 1.3617,             0.00012669,             0.00012669,             0.00012669
