                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0544,                 1.2208,                 1.3446,                 2.1328,                 1.4061,                 1.2939,                0.71031,                0.70506,                0.69553,                0.23971,                 2.1649,                 1.1355,                 1.3973,                 2.1369,                 1.2149,                 1.3505,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.8076,                 1.0721,                 1.2372,                 1.9193,                  1.209,                 1.2031,                0.73269,                0.66309,                0.72398,                0.25419,                 2.0874,                 1.1416,                  1.377,                 2.0483,                 1.2781,                 1.3533,              0.0013126,              0.0013126,              0.0013126
                      3,                  1.755,                 1.0091,                 1.2267,                 1.8787,                 1.1413,                 1.2003,                0.67989,                0.69742,                0.71468,                 0.2468,                 2.0671,                 1.1442,                 1.3817,                 2.1136,                 1.1411,                  1.382,               0.001953,               0.001953,               0.001953
                      4,                 1.7101,                0.98924,                 1.2006,                 1.8487,                 1.0953,                 1.1877,                0.70524,                0.68799,                0.68758,                 0.2405,                 2.1631,                 1.1165,                 1.4285,                 2.1425,                 1.1913,                 1.3761,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.686,                0.95726,                 1.1886,                 1.8205,                 1.0806,                 1.1741,                0.70579,                0.73176,                0.70781,                  0.245,                 2.0493,                 1.1566,                 1.3817,                 2.1024,                 1.2742,                 1.3694,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.6584,                0.94665,                 1.1765,                 1.8034,                 1.0503,                 1.1645,                0.70379,                 0.7103,                0.68124,                0.22963,                 2.0815,                 1.1803,                  1.369,                 2.0953,                 1.3471,                 1.3672,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.639,                0.92242,                 1.1687,                 1.7953,                 1.0149,                 1.1632,                0.75843,                 0.7411,                0.74592,                0.26439,                 2.1285,                 1.1034,                 1.3762,                 2.1181,                 1.2197,                 1.3879,               0.001901,               0.001901,               0.001901
                      8,                 1.6014,                0.89962,                 1.1521,                 1.7515,                0.98433,                 1.1521,                0.70061,                0.72318,                0.70182,                 0.2539,                 2.0087,                  1.046,                 1.3351,                  2.067,                 1.1276,                 1.3526,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6079,                0.87854,                 1.1496,                 1.7515,                0.97535,                 1.1484,                0.74163,                0.69313,                0.72406,                0.26475,                 1.9786,                 1.0409,                 1.3198,                   2.04,                 1.0565,                 1.3345,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5752,                0.87473,                 1.1476,                 1.7323,                0.95566,                 1.1532,                0.72547,                0.74464,                0.77395,                0.29463,                 2.0105,                 1.0935,                 1.3462,                 2.0355,                 1.0865,                 1.3423,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5977,                0.87549,                 1.1592,                 1.7492,                0.95948,                 1.1567,                0.79947,                0.73605,                0.79425,                0.30193,                 1.9937,                0.97418,                 1.3362,                 2.0584,                0.95236,                 1.3404,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5411,                0.83769,                 1.1359,                 1.6934,                0.90788,                 1.1357,                0.72417,                0.72532,                0.75535,                0.28592,                 1.9446,                 1.0502,                 1.3017,                 2.0131,                 1.0397,                 1.3263,               0.001802,               0.001802,               0.001802
                     13,                 1.5282,                0.83614,                 1.1259,                 1.6831,                0.91408,                 1.1254,                0.76081,                0.74399,                0.77039,                0.29981,                 1.9678,                   1.04,                 1.3088,                 2.0549,                 1.0316,                 1.3325,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5305,                0.82303,                 1.1153,                  1.682,                0.88899,                 1.1195,                0.75485,                0.75107,                0.75543,                0.28225,                 1.9586,                  1.046,                 1.3143,                 1.9685,                 1.1151,                 1.3009,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4911,                0.81246,                 1.1083,                 1.6541,                0.88114,                 1.1152,                0.75992,                0.68603,                0.73014,                0.26359,                 2.0386,                 1.0892,                 1.3366,                 2.0644,                 1.1057,                 1.3368,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.511,                0.81439,                 1.1125,                 1.6724,                0.88646,                   1.12,                0.81431,                0.72747,                 0.7775,                0.29979,                 1.9221,                 1.0141,                 1.3007,                 2.0039,                 1.0268,                 1.3188,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4849,                0.79405,                 1.1067,                 1.6499,                0.84078,                 1.1182,                0.85063,                0.76992,                0.83644,                0.32452,                  1.922,                 1.0111,                 1.3049,                 1.9923,                0.96973,                 1.3304,               0.001703,               0.001703,               0.001703
                     18,                 1.4771,                0.78933,                 1.1002,                 1.6451,                0.83324,                 1.1128,                 0.7812,                0.74249,                0.79065,                0.30347,                 1.9309,                0.98437,                 1.3028,                 2.0067,                0.98866,                 1.3224,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4823,                  0.787,                 1.1006,                 1.6362,                0.84038,                 1.1099,                0.76166,                 0.7132,                0.74669,                0.26979,                 2.0004,                 1.0088,                 1.3287,                 2.0273,                 1.0474,                  1.335,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4648,                0.79046,                 1.0969,                 1.6293,                0.85699,                 1.1046,                0.79969,                0.74034,                0.79398,                0.29791,                  1.984,                0.99869,                 1.3323,                 2.0482,                 1.0206,                 1.3498,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4466,                0.76018,                  1.095,                 1.6133,                0.79986,                 1.1057,                0.79992,                0.77253,                0.80775,                0.30967,                 1.9536,                0.95313,                 1.3135,                 1.9816,                0.98786,                  1.299,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4488,                0.76362,                 1.0898,                 1.6229,                0.81787,                 1.1017,                 0.7647,                0.75966,                0.78282,                0.29357,                 1.9633,                 1.0086,                 1.3118,                 2.0402,                0.97428,                 1.3208,               0.001604,               0.001604,               0.001604
                     23,                 1.4581,                0.76905,                 1.0939,                 1.6192,                 0.8158,                 1.1035,                0.77884,                0.78755,                0.79785,                0.30861,                 1.9723,                0.96386,                  1.323,                  2.025,                0.96215,                 1.3202,              0.0015842,              0.0015842,              0.0015842
