                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4844,                  2.482,                 1.5573,                 1.4049,                 4.0834,                  1.458,                0.74838,                0.28598,                 0.3305,                0.18755,                 1.4365,                  2.011,                 1.3856,                 1.3791,                  5.609,                 1.3803,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.2957,                 1.2326,                 1.3144,                 1.2705,                 2.1468,                  1.276,                0.48648,                0.48251,                0.41388,                0.24045,                 1.3262,                 1.3876,                 1.3721,                 1.3006,                 2.9747,                 1.3304,             0.00046748,             0.00046748,             0.00046748
                      3,                 1.2706,                 1.1005,                 1.3003,                 1.2972,                 1.6453,                 1.2828,                0.44219,                0.48668,                0.41019,                0.23284,                 1.3594,                  1.519,                 1.4525,                 1.3859,                   3.86,                 1.4467,             0.00068507,             0.00068507,             0.00068507
                      4,                 1.2762,                 1.1018,                 1.3037,                 1.3266,                 1.4699,                 1.2954,                0.50689,                0.44488,                0.45707,                0.26111,                  1.432,                 1.4077,                 1.5377,                 1.4922,                 1.9683,                 1.5224,             0.00088616,             0.00088616,             0.00088616
                      5,                 1.2788,                 1.1897,                 1.2967,                 1.3363,                 1.3918,                 1.2952,                0.37184,                0.50139,                  0.426,                0.23441,                 1.4897,                 1.9281,                 1.5969,                 1.5429,                 1.9055,                 1.5426,              0.0010707,              0.0010707,              0.0010707
                      6,                 1.2639,                 1.0971,                 1.2928,                 1.3286,                 1.3072,                 1.2913,                0.45036,                0.44505,                0.41445,                0.23998,                 1.4596,                 2.0417,                 1.5523,                 1.5797,                  2.269,                 1.6031,              0.0012388,              0.0012388,              0.0012388
                      7,                 1.2993,                 1.0617,                 1.2797,                 1.3662,                 1.2523,                 1.2745,                0.35973,                0.40112,                0.34871,                 0.2007,                 1.5483,                 1.6911,                 1.5972,                 1.6683,                 2.1443,                 1.6719,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2357,                  1.045,                 1.2783,                 1.3222,                 1.2721,                 1.2891,                0.48973,                0.43767,                0.42563,                0.23302,                 1.4907,                 1.8866,                 1.5424,                 1.6278,                 1.9939,                 1.6004,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2391,                 1.0188,                  1.272,                 1.3184,                 1.2354,                 1.2809,                0.54788,                0.56167,                0.55664,                 0.3241,                   1.33,                 1.3103,                 1.4204,                 1.3927,                 1.6453,                  1.465,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.2362,                   1.03,                 1.2763,                 1.3225,                 1.2299,                 1.2799,                0.44358,                0.59769,                0.51952,                0.29897,                 1.4124,                 1.1718,                 1.4773,                 1.4544,                 1.4566,                 1.4847,              0.0012269,              0.0012269,              0.0012269
